ID,Gender,10percentage,12graduation,12percentage,CollegeID,CollegeTier,collegeGPA,CollegeCityID,CollegeCityTier,GraduationYear,Logical,Quant,Domain,agreeableness,openess_to_experience,Salary
604399,f,87.8,2009,84,6920,1,73.82,6920,1,2013,665,810,0.694479328,0.3789,0.2889,445000
988334,m,57,2010,64.5,6624,2,65,6624,0,2014,435,210,0.3423149,0.0459,-0.2859,110000
301647,m,77.33,2007,85.17,9084,2,61.94,9084,0,2011,475,505,0.824666401,-0.1232,-0.2875,255000
582313,m,84.3,2009,86,8195,1,80.4,8195,1,2013,620,635,0.990008757,0.2124,0.4805,420000
339001,f,82,2008,75,4889,2,,4889,1,2012,495,365,0.278457409,-0.7473,0.1864,200000
609356,f,83.16,2007,77,10950,1,99.93,10950,0,2013,595,620,0.376059587,-0.6201,-0.2859,440000
1081649,f,72.5,2007,53.2,14381,2,68,14381,1,2013,495,405,0.8295846,-0.4536,-0.0943,150000
610842,f,NA,2009,88,13208,2,71,13208,1,2013,470,280,0.704090412,0.5454,-0.2859,105000
1183070,m,76.8,2010,87.7,5338,2,73.15,5338,0,2014,555,440,0.744758354,-0.4536,-0.0943,195000
794062,f,57,2009,73,8346,2,70.08,8346,0,2014,410,560,0.622642916,-0.4536,0.6721,200000
1088206,m,77,2008,75,13424,2,62,13424,0,2013,630,485,0.20739217,0.5454,0.8637,335000
1279958,m,81.2,2008,79.9,64,2,67.67,64,0,2013,565,645,-1,0.7119,0.6721,300000
471413,f,85,2009,88,57,2,85,57,0,2013,445,605,0.765673581,-2.1903,-0.4455,480000
1088423,f,90,2009,82.1,2998,2,85,2998,0,2014,530,705,0.486747008,0.7119,0.8637,550000
1066680,m,86.4,2009,86.2,1906,2,81.4,1906,1,,630,750,0.338786347,1.0449,0.6721,325000
407672,m,84.13,2008,77,3801,2,75.2,3801,0,2012,515,465,0.525922584,0.9688,-0.1295,405000
205633,m,NA,2005,,5508,2,78.7,5508,0,2011,245,485,0.735795709,-1.3713,1.2923,500000
924541,f,86,2010,89,429,2,73.9,429,0,2014,570,620,0.953899775,0.0459,0.6721,210000
512353,m,66.15,2009,54,3603,2,66,3603,0,2013,495,280,0.793580615,-0.1232,-1.3934,400000
1136577,m,79.29,2009,68.67,5298,2,76,5298,0,2013,505,595,0.356536488,0.7119,1.4386,360000
781327,m,60,2006,50,11013,2,69.94,11013,0,2013,340,430,0.143256541,-2.2851,-0.6692,240000
764522,f,58.4,2008,64.8,85,2,80,85,0,2014,415,554,0.793580615,0.0924,-0.1543,120000
203323,m,61,2003,59,3716,2,63,3716,1,2011,565,495,0.930370607,0.6568,0.3444,430000
267354,m,50,2008,64,7564,2,70,7564,0,2011,365,445,0.538386893,-1.3713,0.3444,120000
839626,f,67.06,2008,70.67,13271,2,,13271,1,2012,440,385,0.144789889,-0.2871,0.2889,120000
1169332,f,67,2008,61,16664,2,75,16664,0,2012,410,320,0.488347977,-0.2871,-0.6692,120000
669692,m,73,2009,71,9699,2,61,9699,1,2013,365,310,0.074546265,-1.9521,-2.5853,600000
48029,m,86.17,2006,78.6,2857,1,73.34,2857,1,2010,495,695,0.987207086,0.5008,0.6603,500000
1268344,m,78,2009,75,7765,2,73,7765,0,2014,555,570,0.066960707,-0.1206,0.2889,240000
1274612,m,71.8,2007,68.2,267,2,76.5,267,0,2012,590,585,-1,-0.7866,-2.0105,200000
230553,m,66.66,2005,80.4,64,2,64.29,64,0,2011,505,575,0.901489571,0.3448,-0.1295,80000
1259836,m,85,2009,81,1906,2,76.7,1906,1,2013,530,440,0.622642916,0.8784,0.8637,330000
634352,f,83.6,2008,74,55,2,71,55,0,2013,595,720,0.987207086,0.0459,0.2889,450000
977034,m,61.69,2008,60.66,285,1,77.5,285,0,2014,605,520,0.356536488,0.3789,-1.0524,240000
668869,m,85,2009,,6566,2,81,6566,1,2013,525,690,0.694479328,0.2124,-1.0524,325000
915600,m,80.13,2008,69.17,5696,2,60.34,5696,0,2012,440,385,0.996744487,-0.6201,-0.2859,215000
628753,m,82.5,2009,85,11352,2,75,11352,1,2013,485,530,0.600057182,-1.9521,0.6721,315000
1036215,m,63.5,2010,65.72,5081,2,,5081,0,2014,460,320,0.23780284,1.0449,0.6721,220000
955352,m,64,2010,62,17244,2,75,17244,0,2014,470,365,0.356536488,-0.4536,-0.2859,180000
449417,m,76,2005,61,2088,2,85,2088,0,2012,475,575,0.960903087,-1.3713,-1.1169,240000
1038837,m,73,2008,76,10930,2,74,10930,1,2013,570,415,0.356536488,-0.1206,-1.4356,60000
309954,m,91,2008,83,5050,2,71,5050,0,2012,495,565,0.930370607,0.6568,-0.4455,165000
54289,m,65,2007,47.6,1753,2,63,1753,0,2013,365,475,0.600057182,-0.7473,0.3444,180000
615097,m,70.16,2007,66.8,272,2,69.7,272,0,2014,485,530,0.486747008,-1.1196,-0.0943,150000
96613,m,74.6,2005,80.8,67,2,72.45,67,0,2010,415,635,0.960603252,0.3448,1.4502,370000
542950,m,66.5,2008,66.4,172,2,66,172,0,2013,560,560,0.376059587,0.8351,-0.4455,145000
781196,m,78.4,2009,58.4,11013,2,76.5,11013,0,2013,535,605,0.986525019,1.5444,0.8637,100000
38441,m,62,2002,62,395,2,72.02,395,0,2010,445,575,0.864685413,0.2668,-1.2354,300000
1269557,m,52.93,2008,64,4793,2,73,4793,0,2014,375,370,0.911395278,-0.1206,-0.4776,240000
512864,m,82,2008,81,77,2,64,77,0,2012,585,530,0.376059587,0.8128,-0.2875,500000
390353,m,78,2008,69,3717,2,75,3717,1,2012,485,425,0.0587928,-0.5913,-0.169,300000
1230200,m,65,2008,65.4,1887,1,67.72,1887,0,2014,615,725,0.744758354,-0.7866,-1.6273,300000
206976,m,70.2,2007,68.4,49,1,60.4,49,0,2011,415,504,0.0587928,-0.2793,-0.2875,510000
908780,f,93,2010,89,8895,2,83,8895,0,2014,495,325,0.622642916,0.0459,-0.8608,150000
982729,m,53.4,2010,66,387,2,60.62,387,0,2014,520,330,0.744758354,0.2124,-0.4776,240000
385303,m,84.2,2008,78.6,100,2,64.45,100,0,2012,605,595,0.376059587,0.2668,0.6603,145000
355322,m,71.5,2007,60,81,2,68.74,81,0,2012,355,455,0.24545566,1.1248,-0.6035,240000
730991,m,81.5,2009,80.2,11160,2,82,11160,1,2013,510,415,0.3423149,-1.1196,0.2889,310000
326762,m,63,2008,66,3879,2,65.55,3879,0,2012,465,465,0.704090412,-2.1513,-1.2354,450000
125654,m,74,2004,86.1,3694,2,76,3694,0,2010,385,585,0.635978756,-0.5913,0.3444,380000
984121,f,91.6,2010,86.5,2952,2,80.2,2952,1,2014,510,570,0.783303537,1.2114,0.0973,300000
744799,m,87.5,2009,89.9,13899,2,73.21,13899,0,2013,415,485,0.704090412,0.8784,-0.6692,300000
1048133,m,78.5,2009,83,16171,2,77.72,16171,0,2013,470,405,0.20739217,0.7119,0.6721,200000
1094787,m,79.5,2009,63.2,7814,2,63.3,7814,0,2014,425,440,0.493596387,1.0449,0.8637,170000
661812,f,71,2009,68,13040,2,81.4,13040,1,2013,570,220,0.843123727,0.3789,-0.6692,95000
818701,m,66,2006,61,9508,2,72.04,9508,0,2012,500,545,0.953899775,1.0449,-0.8608,335000
1063653,m,74,2009,63,14278,2,72,14278,0,2013,530,370,0.04099931,0.5454,-0.6692,110000
189121,m,91,2007,90.91,4042,2,83.2,4042,0,2011,515,575,0.229481755,1.1248,0.3444,450000
640037,f,89.44,2009,75.33,4569,2,68.69,4569,0,2013,425,385,0.704090412,0.0459,0.0973,200000
906284,m,76,2010,64,10971,2,67,10971,0,2014,450,470,0.486747008,1.2114,-0.6692,310000
330544,m,77,2008,75,9837,2,65.42,9837,1,2012,415,375,0.068445751,1.1248,0.4234,200000
643957,m,63,2009,74,462,2,57,462,1,2013,500,455,0.600057182,-2.1186,-1.6273,240000
335906,f,90.33,2008,88.6,1141,2,69.55,1141,0,2012,505,415,0.704090412,1.4368,0.8973,300000
657409,m,76.5,2009,84,11447,2,87.2,11447,0,2013,440,385,0.414337426,-0.2871,-0.6692,75000
271549,m,70,2007,60,1618,2,64.3,1618,0,2011,465,575,0.525922584,-1.8393,0.1864,330000
